SampleID,Env,SourceSink,id
DLSs01,soil,Source,NA
DLSs02,soil,Source,NA
DLSs03,soil,Source,NA
DPSs01,soil,Source,NA
DPSs02,soil,Source,NA
DPSs03,soil,Source,NA
HLs01,soil,Source,NA
HLs02,soil,Source,NA
HLs03,soil,Source,NA
SLTs01,soil,Source,NA
SLTs02,soil,Source,NA
SLTs03,soil,Source,NA
SLs01,soil,Source,NA
SLs02,soil,Source,NA
SLs03,soil,Source,NA
XSs01,soil,Source,NA
XSs02,soil,Source,NA
XSs03,soil,Source,NA
DLSw01,water,Sink,1
DLSw02,water,Sink,2
DLSw03,water,Sink,3
DPSw01,water,Sink,4
DPSw02,water,Sink,5
DPSw03,water,Sink,6
HLw01,water,Sink,7
HLw02,water,Sink,8
HLw03,water,Sink,9
SLTw01,water,Sink,10
SLTw02,water,Sink,11
SLTw03,water,Sink,12
SLw01,water,Sink,13
SLw02,water,Sink,14
SLw03,water,Sink,15
XSw01,water,Sink,16
XSw02,water,Sink,17
XSw03,water,Sink,18
